epoch,accuracy,loss,val_accuracy,val_loss
0,0.339310884475708,2.3521323204040527,0.6448076963424683,1.4972693920135498
1,0.6209455132484436,1.39286470413208,0.7507692575454712,1.033181071281433
2,0.7084134817123413,1.0766714811325073,0.7931410074234009,0.833417534828186
3,0.7527724504470825,0.9087361097335815,0.8214743733406067,0.6861950159072876
4,0.775496780872345,0.8060855865478516,0.8441666960716248,0.6104046106338501
5,0.7922916412353516,0.7403335571289062,0.8489102721214294,0.5687263011932373
6,0.8065544962882996,0.6882773041725159,0.8616025447845459,0.5337361097335815
7,0.8174359202384949,0.6513476371765137,0.8583974242210388,0.5205915570259094
8,0.8220192193984985,0.6208316087722778,0.8772435784339905,0.46570783853530884
9,0.8298717737197876,0.5967703461647034,0.8714102506637573,0.473294198513031
